ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 1 	 TOTAL: 1
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 2 	 TOTAL: 2
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 3 	 TOTAL: 3
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 4 	 TOTAL: 4
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 5 	 TOTAL: 5
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 6 	 TOTAL: 6
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 7 	 TOTAL: 7
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 8 	 TOTAL: 8
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 9 	 TOTAL: 9
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 10 	 TOTAL: 10
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 11 	 TOTAL: 11
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 12 	 TOTAL: 12
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 13 	 TOTAL: 13
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 14 	 TOTAL: 14
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 15 	 TOTAL: 15
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 16 	 TOTAL: 16
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 1 	 TOTAL: 1 	 NORM1: 3.822834014892578
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 2 	 TOTAL: 2 	 NORM1: 2.024559259414673
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 3 	 TOTAL: 3 	 NORM1: 2.754868507385254
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 4 	 TOTAL: 4 	 NORM1: 2.295090913772583
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 5 	 TOTAL: 5 	 NORM1: 3.4144062995910645
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 6 	 TOTAL: 6 	 NORM1: 2.7762627601623535
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 7 	 TOTAL: 7 	 NORM1: 3.3929152488708496
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 8 	 TOTAL: 8 	 NORM1: 2.7225475311279297
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 9 	 TOTAL: 9 	 NORM1: 2.2269136905670166
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 10 	 TOTAL: 10 	 NORM1: 2.1621153354644775
ACCURACY OF TELEPORTATION: 1.0 	 CORRECT: 11 	 TOTAL: 11 	 NORM1: 3.7185933589935303
